pickup_datetime,dropoff_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,passenger_count,surge_multiplier,fare_amount
22-05-2023 06:29,22-05-2023 07:20,40.55897627,-73.76231926,40.83601329,-73.8433515,32.04,2,1,57.87
09-02-2023 02:53,09-02-2023 03:39,40.52853153,-74.08521584,40.89886646,-74.17160121,42.21,4,1,74.68
22-03-2023 12:11,22-03-2023 12:29,40.89362188,-73.79543898,40.74710547,-73.70290113,19.24,4,1.5,36.34
20-06-2023 12:09,20-06-2023 12:58,40.66650717,-74.01859511,40.64151093,-73.92877611,10.35,3,1,20.54
01-01-2023 09:44,01-01-2023 10:12,40.53309955,-74.05134425,40.603674,-74.10057606,9.55,3,1,18.06
19-01-2023 02:02,19-01-2023 02:16,40.80232156,-73.79436024,40.8707858,-74.18004348,43.48,4,1,76.88
05-03-2023 00:45,05-03-2023 01:33,40.87948902,-74.09212679,40.75836291,-74.03791959,14.73,4,1,29.52
05-05-2023 18:20,05-05-2023 19:17,40.57946978,-74.23089168,40.60967152,-73.91640263,35.07,2,1.5,59.81
12-04-2023 04:20,12-04-2023 05:09,40.86801768,-74.15301379,40.62215913,-74.0264237,30.7,2,1.5,56.47
24-06-2023 08:10,24-06-2023 08:17,40.52962994,-73.95756483,40.89910867,-74.18627385,48.23,4,1.5,80.08
29-01-2023 14:21,29-01-2023 14:49,40.68968987,-73.87437886,40.83893326,-74.02011579,23.15,3,1,39.65
08-01-2023 08:11,08-01-2023 08:16,40.5455689,-74.17667932,40.88463437,-73.81462326,55.06,1,1.5,95.34
16-04-2023 10:38,16-04-2023 11:36,40.57194186,-73.79448408,40.7582063,-74.24240996,53.85,1,1,92.8
18-01-2023 01:48,18-01-2023 02:08,40.73217012,-74.05333422,40.53203971,-74.15130857,24.73,2,1,46.07
06-05-2023 01:38,06-05-2023 02:15,40.7003494,-73.73127602,40.84223759,-74.24429232,59.08,3,1,99.11
24-01-2023 01:56,24-01-2023 02:18,40.83381095,-73.90173778,40.71827524,-73.9328528,13.28,1,1,28.24
05-01-2023 23:36,06-01-2023 00:34,40.57307013,-73.8616756,40.85064555,-74.11427644,41.66,1,2,72.05
14-01-2023 05:57,14-01-2023 06:33,40.57293983,-74.16606886,40.55002777,-74.16311953,2.56,3,1.5,10.41
21-02-2023 08:49,21-02-2023 09:31,40.85504611,-73.98611601,40.54491291,-73.94533155,34.72,1,1,62.12
30-03-2023 17:11,30-03-2023 17:18,40.87146383,-74.19491526,40.69759243,-73.78276141,49.65,1,1,82.2
03-05-2023 13:26,03-05-2023 13:42,40.76660629,-73.79539355,40.56553927,-73.87101102,23.84,1,2,45.59
19-01-2023 21:02,19-01-2023 21:34,40.62992214,-74.14219878,40.53139988,-73.81163728,38.29,2,2,67.89
27-01-2023 00:50,27-01-2023 01:24,40.50033426,-73.82479895,40.86635065,-74.16806633,55.7,4,1,93.73
21-03-2023 12:53,21-03-2023 13:13,40.81307939,-74.07703985,40.8584414,-73.95785894,14.15,4,1,26.16
31-03-2023 14:36,31-03-2023 14:45,40.60495537,-73.72638769,40.88781814,-73.76058733,31.63,3,2,56.58
24-03-2023 14:32,24-03-2023 15:32,40.77304698,-73.74710085,40.51902482,-74.2085903,58.47,2,1,96.06
21-02-2023 19:16,21-02-2023 20:09,40.8698835,-74.14255352,40.66822202,-74.1844779,22.86,3,1.5,40.89
15-06-2023 10:36,15-06-2023 11:34,40.82132907,-74.21698537,40.51256016,-74.23968381,34.37,4,2,58.23
17-02-2023 02:37,17-02-2023 03:36,40.81247756,-73.9988835,40.81559099,-74.23740683,26.48,1,1,47.48
09-04-2023 23:44,10-04-2023 00:27,40.78140363,-73.77639789,40.5154146,-73.81319621,29.81,2,1,54.02
12-05-2023 22:44,12-05-2023 23:29,40.50602311,-73.84520369,40.8042824,-73.72730712,35.6,2,2,61.62
21-05-2023 13:17,21-05-2023 13:29,40.52300943,-73.73910718,40.57947797,-74.00122986,29.76,2,2,51.33
12-03-2023 14:08,12-03-2023 15:06,40.55427215,-73.83808127,40.59117034,-74.02950191,21.64,3,1,41.55
28-02-2023 03:59,28-02-2023 04:40,40.56226836,-74.22703221,40.6754466,-73.99696312,28.46,1,1,49.73
01-01-2023 17:12,01-01-2023 18:05,40.82050283,-74.23252423,40.56893254,-74.05007415,34.5,4,1,58.97
06-01-2023 10:58,06-01-2023 11:50,40.75396307,-73.98332048,40.61665021,-74.10046436,20.03,1,1,36.83
11-05-2023 10:45,11-05-2023 10:51,40.7198797,-74.15205442,40.5033459,-74.24832419,26.3,2,2,47.87
15-04-2023 08:01,15-04-2023 08:18,40.59092354,-74.17406912,40.85691855,-73.96615471,37.47,1,1.5,66.29
15-03-2023 04:26,15-03-2023 04:31,40.74884338,-74.12311258,40.81215931,-73.8947789,26.3,3,2,46.72
15-02-2023 23:14,15-02-2023 23:58,40.72581742,-73.9386638,40.80277061,-74.18767332,28.93,1,1.5,51.51
12-05-2023 07:00,12-05-2023 07:11,40.64490477,-74.04639598,40.51737354,-73.90373131,21.24,3,1,39
10-03-2023 11:11,10-03-2023 11:56,40.71943063,-74.24248501,40.79666544,-74.02869928,25.23,2,2,46.28
